compound_stem,SMILES,u1,u2,u3
A00052363,CN(C)C(=O)CC1CC2(CCN(CC2)C(=O)N2CCCC2)Oc2ccccc12,-0.691007,1.3320831,5.250792
A00055639,Cc1c([nH]c2CC(CC(=O)c12)c1ccco1)C(=O)OCC1CCCO1,-1.1726454,-0.9333391,2.7361815
A00064324,CNC(=O)CN1CCC11CCN(C1)C(=O)c1ccn(C)n1,-1.2766341,-0.65576947,2.0977068
A00076817,Cn1cc(cn1)N1CCC2(CCN(C2)C(=O)c2ccncc2)C1=O,-0.6773501,0.85284775,2.548781
A00079315,CC(C)CN1CC2CN(CC2C1)S(=O)(=O)c1ccccc1,-0.3655963,0.69385237,2.4001477
A00106730,Fc1cccc(c1)-c1ccc2c(nnn2c1)C1CCCN1Cc1ccncc1,-0.2001274,-0.96261823,1.7690777
A00113255,CC1(C)C[C@H](C2CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,-1.300439,-1.2112209,1.7539202
A00118859,CCC1CCCCN1C(=O)c1sc2ncnc(N(CC)CC)c2c1C,0.872392,2.807157,6.7072563
A00121219,O=C(CN1C(=O)NC2(CCSC2)C1=O)NCc1ccccc1,-0.07985432,0.45181617,3.786028
A00131835,Cc1cc(nc(C)n1)C(=O)N1CCCC(C1)Nc1ccc(C)c(C)c1,0.13150114,2.7907414,5.72006
A00134822,Fc1cccc(c1)N1CC2(CCN(C2)C(=O)COc2ccccc2)CC1=O,0.21264191,3.1359305,6.5880313
A00143808,C1CC(N(C1)C(=O)c1ccncc1)c1nnn2cc(ccc12)-c1ccccc1,0.8127805,2.8778243,5.703288
A00143970,COc1ccc2cc(ccc2c1)C(=O)C1CCCN(C1)C(=O)c1ccnn1C,0.0020766596,-1.4660757,1.4249394
A00150611,CCS(=O)(=O)N1CCc2ncnc(C3CCOC3)c2CC1,-0.21464358,-0.2669357,1.9766791
A00161828,CC1Cn2c(S1)nnc2-c1cccs1,-0.4473744,2.7303689,4.5031962
A00177377,Cc1ccc(cc1)S(=O)(=O)NCC[C@@]1(C)C2CCC1(C)C(=O)C2,-0.45418057,-1.192098,1.189315
