,compound_stem,u1,u2,u3
0,K27893489_1,4.159345,10.718387,4.9810343
1,K27893489_3,3.424995,10.349739,4.3951683
2,K27893489_9,4.627479,10.968961,5.134156
3,K27893489_30,5.73428,11.222666,5.4149246
4,K13086613_1,2.7513204,9.53614,3.7380605
5,K13086613_3,1.1801847,7.401205,3.9588656
6,K13086613_10,2.3650203,9.083093,4.00534
7,K13086613_30,6.3811073,10.714532,7.877458
8,K88492762_1,3.4831767,10.635313,6.0824986
9,K88492762_30,4.369198,11.229115,7.5746245
10,K88492762_3,3.7778518,11.004191,6.930771
11,K88492762_10,4.1715226,11.205416,7.4137993
12,K06934249_1,2.177436,8.944097,3.650583
13,K06934249_30,1.868362,8.230093,4.1361117
14,K06934249_3,1.4148294,7.189261,3.8175075
15,K06934249_10,2.2434685,8.844699,4.2871356
16,A88358860_1,4.749216,10.962779,4.9362864
17,A88358860_30,1.7085916,6.8922048,7.4005523
18,A88358860_3,5.373685,11.2046795,5.1347446
19,A88358860_10,5.8046765,11.226686,5.4576364
20,K53540417_1,2.9371881,9.83405,4.0968018
21,K53540417_30,2.4840603,9.260971,4.306551
22,K53540417_3,3.4569466,10.305617,4.4064097
23,K53540417_10,2.3886292,9.265025,3.9792569
24,rifampin_0.0004,10.861352,2.7735517,3.1407726
25,rifampin_0.0007,10.861756,2.7734017,3.1409926
26,rifampin_1.0,6.726125,10.631492,7.919032
27,rifampin_2.0,10.86125,2.773566,3.1408575
28,rifampin_30.0,6.743217,10.631817,7.911109
29,rifampin_3.0,6.7251797,10.643493,7.916988
30,rifampin_5e-05,10.861224,2.7739565,3.1411724
31,rifampin_6e-06,1.6099735,6.5701838,7.998513
32,rifampin_9e-05,10.861315,2.7733593,3.1407373
33,rifampin_10.0,6.7805147,10.607,7.9211364
34,rifampin_1e-05,5.8785605,10.553888,7.557696
35,rifampin_1e-06,1.2811024,6.0777044,7.6358695
36,rifampin_0.0002,10.861745,2.7733495,3.1410635
37,rifampin_2e-05,6.465649,10.664497,7.8880625
38,rifampin_3e-06,1.5789796,6.518588,8.080794
39,A97316251_1,0.48390633,6.1618614,4.362765
40,A97316251_30,2.1201525,8.834011,4.5312567
41,A97316251_3,0.18602681,5.674949,4.527369
42,A97316251_10,1.8595638,8.725289,3.7678454
43,K25182024_1,1.8077534,8.310962,3.778894
44,K25182024_30,2.9223351,9.964842,5.568279
45,K25182024_3,2.7635596,9.690825,4.4503756
46,K25182024_10,3.1089942,10.390578,6.145951
47,A92801646_1,1.4866598,7.3614244,4.0955667
48,A92801646_30,5.6513324,11.034457,5.086709
49,A92801646_3,1.3023623,6.4704924,3.6655066
50,A92801646_10,0.48562017,4.0280566,5.684808
51,K28003251_1,2.149714,8.856024,3.8437538
52,K28003251_30,3.9548404,10.64803,5.0041046
53,K28003251_3,2.7137396,9.632833,4.0928597
54,K28003251_10,0.9156175,6.386396,4.127148
55,K45584528_1,2.9090257,9.755715,4.3053613
56,K45584528_30,4.261163,10.517948,6.9085455
57,K45584528_3,3.279867,10.174619,4.4759955
58,K45584528_10,3.697284,10.387373,6.0556645
59,K14748922_1,3.1835272,10.188449,4.3230057
60,K14748922_30,3.4904835,10.341626,4.2408166
61,K14748922_3,1.9055518,8.361785,3.4409566
62,K14748922_10,2.786446,9.578672,3.7371926
63,K80087380_1,0.9531146,6.620222,4.040931
64,K80087380_3,3.818655,9.684068,6.5317492
65,K80087380_10,8.527102,9.876051,8.524637
66,K80087380_30,8.872417,9.7884245,8.659637
67,K53100515_1,0.51573473,5.6314816,4.285115
68,K53100515_3,0.6811627,5.9916973,4.088593
69,K53100515_10,1.4512383,7.494863,4.7919936
70,K53100515_30,6.484895,10.727705,7.938443
71,A24490366_1,3.3244927,10.260356,4.419237
72,A24490366_30,4.408482,10.787665,5.2478595
73,A24490366_3,2.9322565,9.843547,4.141246
74,A24490366_10,3.320514,10.248984,4.389234
75,K81486165_1,1.12717,6.6169777,3.7206783
76,K81486165_30,3.437368,10.024122,5.1719427
77,K81486165_3,1.5589933,7.52032,3.502948
78,K81486165_10,1.4067488,8.096053,3.9117486
79,K91654532_1,2.3874197,9.199199,3.7321904
80,K91654532_3,1.9875214,8.50194,3.5719702
81,K91654532_10,2.0080447,8.532619,3.9013498
82,K91654532_30,2.8653324,9.770269,4.1419334
83,K94517866_1,0.99129885,6.704201,4.0446
84,K94517866_30,1.3381538,6.4496813,3.8472772
85,K94517866_3,0.7391687,5.481841,4.6612906
86,K94517866_10,-0.3005552,2.6579366,7.317439
87,K18354977_1,3.4756775,10.390577,4.395512
88,K18354977_30,2.6912596,9.679709,4.7336454
89,K18354977_3,2.175499,8.616013,3.7087896
90,K18354977_10,3.3712158,10.338299,4.441334
91,A29033948_1,2.2690625,9.178282,4.0200024
92,A29033948_30,1.5665467,7.785764,4.0035152
93,A29033948_3,0.36660397,5.800051,4.6255565
94,A29033948_10,-0.14589718,4.5790186,5.395465
95,A66769347_1,3.43583,10.346541,4.4775834
96,A66769347_30,3.29279,9.895235,5.3007917
97,A66769347_3,2.9650385,9.907638,4.1351533
98,A66769347_10,2.7007656,9.598012,4.1809335
99,K46262419_1,3.3258884,10.251065,4.4718165
100,K46262419_30,1.0916923,7.157378,4.7185726
101,K46262419_3,1.7213795,8.5963955,4.137217
102,K46262419_10,2.820051,9.775489,4.254457
103,A68890226_1,2.8148057,9.653601,3.9453504
104,A68890226_30,6.4174976,10.729184,7.9026766
105,A68890226_3,0.55630016,5.51582,4.100575
106,A68890226_10,2.3693998,8.713619,4.9887466
107,K25297725_1,1.3374044,7.6693673,3.7035515
108,K25297725_3,-0.18067896,2.469601,7.3229256
109,K25297725_10,1.5677392,7.679478,3.9114494
110,K25297725_30,2.125399,8.780917,3.5107315
111,K47565979_1,2.9427783,9.908588,4.1941466
112,K47565979_30,2.7992098,9.708767,4.113421
113,K47565979_3,2.040364,8.853819,3.770702
114,K47565979_10,3.2258987,10.148611,4.2433686
115,A35156362_1,2.312551,9.108637,3.7931507
