,strain,u1,u2,u3
0,aceE,10.636394,8.346751,5.988997
1,adoK,7.573123,5.5537996,3.913139
2,alaS,3.051867,5.050952,5.781894
3,alr,8.38041,4.9214754,3.215656
4,argC,3.3633435,5.07117,5.3697934
5,argG,2.8777654,5.189127,5.5718765
6,aspS,10.155835,7.537078,5.895017
7,atpDC,4.260279,5.4179554,5.409278
8,canB,4.608944,5.1371183,5.3789477
9,ccsX,11.24325,7.1795325,5.203711
10,clpP1P2,7.6120486,5.7046905,4.2143364
11,ctaC,4.184342,5.544269,5.421399
12,dapF,8.678839,5.3709326,3.6587806
13,def,10.041771,7.142274,5.8658233
14,desA1,9.843845,7.9697666,5.8540583
15,desA2,7.9751067,5.91933,4.4549394
16,dfrA,9.854258,6.9507046,5.122333
17,dnaE1,7.406468,5.379279,3.9666667
18,dnaK,7.959829,5.5214314,3.9583318
19,dnaN,8.423816,5.028617,3.3765728
20,efpA,8.42873,6.3749723,4.9826193
21,eno,3.2596738,5.2116394,5.57052
22,fadD32,10.33603,6.9813166,5.6924376
23,fas,9.7109585,6.924718,5.6829386
24,fba,8.498505,6.265749,4.974885
25,fmt,4.6964397,5.8568716,5.288372
26,folB,4.218355,5.3016443,5.4302316
27,ftsK,11.401036,7.397671,5.653956
28,fum,4.2643514,5.0727096,5.223014
29,gca,11.104488,7.3125777,5.4562297
30,glcB,3.1080604,5.0112357,5.3087864
31,glgB,9.8294325,6.7233777,5.062386
32,gltB,9.0809555,6.4814787,5.2949224
33,gpm1,4.682833,5.326522,5.206495
34,gpsI,11.105134,7.277611,5.0702295
35,gyrA,11.06548,7.1498456,5.635786
36,gyrB,7.926564,5.0468187,3.3885725
37,H37Rv,8.522717,6.303439,5.065576
38,hemA,9.820245,7.8838696,5.886694
39,hemB,9.355564,6.698206,5.4422607
40,hemC,3.2296138,5.157752,5.3353286
41,hisI,9.878528,6.772997,5.6448145
42,hsdM,10.400517,7.4127073,6.203177
43,icd2,9.977374,8.087985,6.0447793
44,ilvC,10.254137,7.724598,6.0346737
45,infB,8.753255,6.2797136,4.924526
46,ino1,8.381414,5.0938478,3.3818774
47,intcon1,2.9849334,5.265423,5.4741116
48,intcon2,2.7529306,5.054864,5.5884433
49,iscS,10.915922,8.055905,5.79179
50,kasA,11.398315,7.4692993,5.472535
51,kasB,11.499515,7.27379,5.569781
52,leuA,10.67386,8.051009,6.2065916
53,leuB,10.750161,7.729285,6.148791
54,leuS,2.9373262,5.074909,5.652165
55,lipA,8.654807,4.944931,3.3967896
56,lipU,10.786532,8.045557,5.8663764
57,manB,8.153888,5.2098374,3.4896336
58,marP,11.392914,7.4506197,5.1565905
59,mdh,3.3517003,5.122945,5.2748947
60,menD,11.022568,7.5360117,5.3819585
61,menE,9.680826,7.1287065,6.196745
62,menH,10.982206,7.3325953,5.782154
63,mesJ,10.697079,7.111855,5.3565903
64,metS,11.117541,7.9077144,6.1276855
65,moxR1,5.0621576,5.2333612,5.1232142
66,mprB,11.061839,7.9045124,6.043012
67,mshC,4.3713684,5.285782,5.4276567
68,murA,5.252034,5.2521095,4.9573836
69,murC,5.092019,5.212521,5.050405
70,murD,7.357122,5.443899,4.144595
71,murG,8.524295,4.9313846,3.2557595
72,mycP3,10.360995,8.209028,5.8321967
73,nadE,10.4726715,7.0824347,5.249488
74,nrdH,7.917254,5.209264,3.586252
75,otsA,3.768432,5.1881933,5.19289
76,pcnA,9.795512,7.5112963,6.0400405
77,ppm1,8.052492,5.654794,4.2062907
78,prcBA,8.291462,6.0481334,4.639091
79,prfA,4.426852,5.2121754,5.21524
80,proC,4.582837,5.419966,5.1698427
81,proS,3.0967047,5.372636,5.3310614
82,rocA,9.749221,7.220285,6.19427
83,rpoB,11.505838,7.3832645,5.178869
84,rpsM,10.578919,8.28512,6.1105175
85,Rv0282,4.3365574,5.5608726,5.138257
86,Rv0283,10.6700325,7.9172063,5.7780266
87,Rv0289,10.767849,7.686969,6.172886
88,Rv0338c,3.0300536,5.0719266,5.4190793
89,Rv1339,10.019193,8.009062,6.1589146
90,Rv1797,9.90103,7.318646,5.339824
91,Rv2017,8.1641,5.3828535,3.7473218
92,Rv3267,11.508889,7.415498,5.13285
93,Rv3644c,7.7382183,5.3056884,3.7947028
94,Rv3719,8.790593,6.6581926,5.3755918
95,secY,8.003723,5.4563875,3.9009528
96,serC,7.530653,5.5903864,4.207985
97,topA,8.233851,5.695261,4.1102314
98,tpi,8.538306,6.402361,5.1658444
99,trpA,10.551011,7.7457976,6.132896
100,trpG,10.928082,7.914374,5.5951943
101,trpS,3.5054302,5.2275586,5.426569
